Year,tagName,Question
"2021","java","89048"
"2021","go","6913"
"2021","python","246632"
"2021","javascript","177651"
"2021","c++","41847"
"2021","c#","63632"
"2021","php","49410"
"2020","python","293988"
"2020","c#","89677"
"2020","php","68245"
"2020","javascript","220560"
"2020","c++","59219"
"2020","java","124719"
"2020","go","8151"
"2019","javascript","188668"
"2019","c#","99613"
"2019","python","224469"
"2019","go","7651"
"2019","c++","49382"
"2019","php","78069"
"2019","java","126410"
"2018","python","205958"
"2018","go","7929"
"2018","java","145796"
"2018","c++","51947"
"2018","javascript","208573"
"2018","c#","108645"
"2018","php","102627"
"2017","go","7051"
"2017","python","191836"
"2017","c#","131277"
"2017","java","174300"
"2017","javascript","249859"
"2017","c++","61951"
"2017","php","141278"
"2016","go","6495"
"2016","javascript","263958"
"2016","c#","148696"
"2016","java","196629"
"2016","c++","71392"
"2016","php","161164"
"2016","python","158234"
"2015","go","5159"
"2015","c++","79719"
"2015","php","170678"
"2015","c#","154520"
"2015","java","215156"
"2015","javascript","255409"
"2015","python","137005"
"2014","go","3990"
"2014","java","217012"
"2014","c#","162587"
"2014","python","116164"
"2014","javascript","235455"
"2014","php","177822"
"2014","c++","82543"
"2013","python","96248"
"2013","c++","82013"
"2013","go","2093"
"2013","java","190504"
"2013","c#","164979"
"2013","javascript","195593"
"2013","php","166951"
"2012","python","64167"
"2012","go","921"
"2012","javascript","136200"
"2012","c++","63085"
"2012","php","131580"
"2012","java","144566"
"2012","c#","138342"
"2011","c#","112731"
"2011","go","362"
"2011","python","42132"
"2011","java","98904"
"2011","php","96003"
"2011","javascript","89966"
"2011","c++","47938"
"2010","python","27008"
"2010","javascript","43439"
"2010","c++","31953"
"2010","c#","75327"
"2010","go","149"
"2010","php","51549"
"2010","java","54336"
"2009","javascript","18726"
"2009","c#","45992"
"2009","python","12863"
"2009","c++","15652"
"2009","go","76"
"2009","java","23922"
"2009","php","20376"
"2008","c#","7476"
"2008","c++","3094"
"2008","java","4300"
"2008","php","2238"
"2008","javascript","2733"
"2008","python","2066"
"","c#","36"
"","javascript","104"
"","c++","30"
"","python","169"
"","php","41"
"","go","3"
"","java","55"